horizon,regime,w_momentum,w_crowd,w_supply_demand,w_cross_market,w_historical_probability
1,CAPITULATION,0.17388419033016433,0.21946452894325783,0.16772222284006225,0.21946452894325783,0.21946452894325783
1,CONFLICTED,0.2011177712905501,0.25532163165621785,0.15213073613929573,0.19885910592731232,0.192570754986624
1,EUPHORIA,0.25057879292460666,0.17075684607581262,0.3047463373412536,0.12847147259006517,0.1454465510682619
1,NORMAL,0.16318706254329782,0.13625641309468414,0.4076947837187412,0.221176249848277,0.07168549079499988
1,PANIC,0.18580751413262842,0.18351647619902584,0.263643057270294,0.18351647619902584,0.18351647619902584
3,CAPITULATION,0.16120636386547307,0.22244505499981745,0.17145847113507448,0.22244505499981745,0.22244505499981745
3,CONFLICTED,0.19529254792020304,0.22571957680675264,0.17416195155336525,0.2046375105740802,0.2001884131455989
3,NORMAL,0.16010098644877707,0.13187140758012947,0.3058512631926951,0.23914755367515658,0.1630287891032417
3,PANIC,0.19667108291198418,0.19569666624684362,0.21704162229754217,0.19569666624684362,0.19489396229678632
7,CAPITULATION,0.17705080546622484,0.21290236128976878,0.18424211066446888,0.21290236128976878,0.21290236128976878
7,CONFLICTED,0.1920150239817235,0.21689610320434904,0.17461700667005947,0.2066652155931446,0.2098066505507234
7,NORMAL,0.129586383964585,0.1783840623467575,0.20341717169218082,0.2479001627658567,0.24071221923062
7,PANIC,0.179405679065951,0.21710781458478076,0.17029589554220567,0.21710781458478076,0.21608279622228177
