horizon,n_x,accuracy,brier,avg_confidence,n_y,static_accuracy,static_brier,accuracy_delta,brier_delta
1,644,0.36024844720496896,0.8037922854955396,0.6112553053816949,644,0.27639751552795033,0.745301304786031,0.08385093167701863,0.058490980709508644
3,592,0.4155405405405405,0.7275339202862857,0.6294945385657983,592,0.40202702702702703,0.6689601318536932,0.013513513513513487,0.05857378843259253
7,489,0.5276073619631901,0.6613115263532588,0.6547526174541691,489,0.5296523517382413,0.6153993583875644,-0.002044989775051187,0.04591216796569442
