regime,observations,avg_edge_per_egg,win_rate,avg_sell_percent,avg_confidence
EUPHORIA,24,3.6699404761904764,0.9166666666666666,0.6997023809523809,0.6203819444444445
NORMAL,96,1.09375,0.3333333333333333,0.5,0.49654513888888885
CONFLICTED,89,-2.0786516853932584,0.11235955056179775,0.5,0.552378277153558
PANIC,428,-2.66050567423231,0.14719626168224298,0.4285714285714286,0.5226207165109035
CAPITULATION,7,-8.053571428571429,0.0,0.29642857142857143,0.5377380952380951
